drug_name	drugbank_id	drug_class	smiles
digoxin	DB00390	Cardiac glycoside	C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
levodopa	DB01235	Antiparkinsonian	N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
irinotecan	DB00762	Antineoplastic	CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC.Cl.O.O.O
sulfasalazine	DB00795	Anti-inflammatory	O=C(O)c1cc(/N=N/c2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
metformin	DB00331	Biguanide	CN(C)C(=N)NC(=N)N
simvastatin	DB00641	Statin	CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
atorvastatin	DB01076	Statin	CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
warfarin	DB00682	Anticoagulant	CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
clopidogrel	DB00758	Antiplatelet	COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
omeprazole	DB00338	Proton pump inhibitor	COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
acetaminophen	DB00316	Analgesic	CC(=O)Nc1ccc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)cc1
tacrolimus	DB00864	Immunosuppressant	C=CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC.O
